variabile;data_e_ora;tipo_dato;valore
30030;"08/12/2017 01:00";1;0
30030;"08/12/2017 02:00";1;0
30030;"08/12/2017 03:00";1;0
30030;"08/12/2017 04:00";1;0
30030;"08/12/2017 05:00";1;0
30030;"08/12/2017 06:00";1;0
30030;"08/12/2017 07:00";1;0
30030;"08/12/2017 08:00";1;0
30030;"08/12/2017 09:00";1;0
30030;"08/12/2017 10:00";1;0
30030;"08/12/2017 11:00";1;0
30030;"08/12/2017 12:00";1;0
30030;"08/12/2017 13:00";1;0
30030;"08/12/2017 14:00";1;0
30030;"08/12/2017 15:00";1;0
30030;"08/12/2017 16:00";1;0
30030;"08/12/2017 17:00";1;0
30030;"08/12/2017 18:00";1;0
30030;"08/12/2017 19:00";1;0
30030;"08/12/2017 20:00";1;0
30030;"08/12/2017 21:00";1;0
30030;"08/12/2017 22:00";1;0
30030;"08/12/2017 23:00";1;0
30030;"09/12/2017 00:00";1;0
30030;"09/12/2017 01:00";1;0
30030;"09/12/2017 02:00";1;0
30030;"09/12/2017 03:00";1;0
30030;"09/12/2017 04:00";1;0
30030;"09/12/2017 05:00";1;0
30030;"09/12/2017 06:00";1;0
30030;"09/12/2017 07:00";1;0
30030;"09/12/2017 08:00";1;0
30030;"09/12/2017 09:00";1;0
30030;"09/12/2017 10:00";1;0
30030;"09/12/2017 11:00";1;0
30030;"09/12/2017 11:30";1;0
30030;"09/12/2017 12:00";1;0
30030;"09/12/2017 12:30";1;0
30030;"09/12/2017 13:00";1;0
30030;"09/12/2017 13:30";1;0
30030;"09/12/2017 14:00";1;0
30030;"09/12/2017 14:30";1;0
30030;"09/12/2017 15:00";1;0
30030;"09/12/2017 15:30";1;0
30030;"09/12/2017 16:00";1;0
30030;"09/12/2017 16:30";1;0
30030;"09/12/2017 17:00";1;0
30030;"09/12/2017 17:30";1;0
30030;"09/12/2017 18:00";1;0
30030;"09/12/2017 18:30";1;0
30030;"09/12/2017 19:00";1;0
30030;"09/12/2017 19:30";1;0
30030;"09/12/2017 20:00";1;0
30030;"09/12/2017 20:30";1;0
30030;"09/12/2017 21:00";1;0
30030;"09/12/2017 21:30";1;0
30030;"09/12/2017 22:00";1;0
30030;"09/12/2017 22:30";1;0
30030;"09/12/2017 23:00";1;0
30030;"09/12/2017 23:30";1;0
30030;"10/12/2017 00:00";1;0
